appt_date,appt_time,unit_name
8/19/16,2:00 PM,Tan Unit
8/22/16,10:00 AM,Tan Unit
8/22/16,2:00 PM,Tan Unit
8/23/16,10:00 AM,Tan Unit
8/23/16,2:00 PM,Tan Unit
8/24/16,10:00 AM,Tan Unit
8/24/16,2:00 PM,Tan Unit
8/25/16,10:00 AM,Tan Unit
8/25/16,2:00 PM,Tan Unit
8/26/16,10:00 AM,Tan Unit
8/26/16,2:00 PM,Tan Unit
8/29/16,10:00 AM,Tan Unit
8/29/16,2:00 PM,Tan Unit
8/30/16,10:00 AM,Tan Unit
8/30/16,2:00 PM,Tan Unit
8/31/16,10:00 AM,Tan Unit
8/31/16,2:00 PM,Tan Unit
9/1/16,10:00 AM,Tan Unit
9/1/16,2:00 PM,Tan Unit
9/2/16,10:00 AM,Tan Unit
9/2/16,2:00 PM,Tan Unit
9/5/16,10:00 AM,Tan Unit
9/5/16,2:00 PM,Tan Unit
9/6/16,10:00 AM,Tan Unit
9/6/16,2:00 PM,Tan Unit
9/7/16,10:00 AM,Tan Unit
9/7/16,2:00 PM,Tan Unit
9/8/16,10:00 AM,Tan Unit
9/8/16,2:00 PM,Tan Unit
9/9/16,10:00 AM,Tan Unit
9/9/16,2:00 PM,Tan Unit
9/12/16,10:00 AM,Tan Unit
9/12/16,2:00 PM,Tan Unit
9/13/16,10:00 AM,Tan Unit
9/13/16,2:00 PM,Tan Unit
9/14/16,10:00 AM,Tan Unit
9/14/16,2:00 PM,Tan Unit
9/15/16,10:00 AM,Tan Unit
9/15/16,2:00 PM,Tan Unit
9/16/16,10:00 AM,Tan Unit
9/16/16,2:00 PM,Tan Unit
9/19/16,10:00 AM,Tan Unit
9/19/16,2:00 PM,Tan Unit
9/20/16,10:00 AM,Tan Unit
9/20/16,2:00 PM,Tan Unit
9/21/16,10:00 AM,Tan Unit
9/21/16,2:00 PM,Tan Unit
9/22/16,10:00 AM,Tan Unit
9/22/16,2:00 PM,Tan Unit
9/23/16,10:00 AM,Tan Unit
9/23/16,2:00 PM,Tan Unit
9/26/16,10:00 AM,Tan Unit
9/26/16,2:00 PM,Tan Unit
9/27/16,10:00 AM,Tan Unit
9/27/16,2:00 PM,Tan Unit
9/28/16,10:00 AM,Tan Unit
9/28/16,2:00 PM,Tan Unit
9/29/16,10:00 AM,Tan Unit
9/29/16,2:00 PM,Tan Unit
9/30/16,10:00 AM,Tan Unit
9/30/16,2:00 PM,Tan Unit
10/3/16,10:00 AM,Tan Unit
10/3/16,2:00 PM,Tan Unit
10/4/16,10:00 AM,Tan Unit
10/4/16,2:00 PM,Tan Unit
10/5/16,10:00 AM,Tan Unit
10/5/16,2:00 PM,Tan Unit
10/6/16,10:00 AM,Tan Unit
10/6/16,2:00 PM,Tan Unit
10/7/16,10:00 AM,Tan Unit
10/7/16,2:00 PM,Tan Unit
10/10/16,10:00 AM,Tan Unit
10/10/16,2:00 PM,Tan Unit
10/11/16,10:00 AM,Tan Unit
10/11/16,2:00 PM,Tan Unit
10/12/16,10:00 AM,Tan Unit
10/12/16,2:00 PM,Tan Unit
10/13/16,10:00 AM,Tan Unit
10/13/16,2:00 PM,Tan Unit
10/14/16,10:00 AM,Tan Unit
10/14/16,2:00 PM,Tan Unit
10/17/16,10:00 AM,Tan Unit
10/17/16,2:00 PM,Tan Unit
10/18/16,10:00 AM,Tan Unit
10/18/16,2:00 PM,Tan Unit
10/19/16,10:00 AM,Tan Unit
10/19/16,2:00 PM,Tan Unit
10/20/16,10:00 AM,Tan Unit
10/20/16,2:00 PM,Tan Unit
10/21/16,10:00 AM,Tan Unit
10/21/16,2:00 PM,Tan Unit
10/24/16,10:00 AM,Tan Unit
10/24/16,2:00 PM,Tan Unit
10/25/16,10:00 AM,Tan Unit
10/25/16,2:00 PM,Tan Unit
10/26/16,10:00 AM,Tan Unit
10/26/16,2:00 PM,Tan Unit
10/27/16,10:00 AM,Tan Unit
10/27/16,2:00 PM,Tan Unit
10/28/16,10:00 AM,Tan Unit
10/28/16,2:00 PM,Tan Unit
10/31/16,10:00 AM,Tan Unit
10/31/16,2:00 PM,Tan Unit
11/1/16,10:00 AM,Tan Unit
11/1/16,2:00 PM,Tan Unit
11/2/16,10:00 AM,Tan Unit
11/2/16,2:00 PM,Tan Unit
11/3/16,10:00 AM,Tan Unit
11/3/16,2:00 PM,Tan Unit
11/4/16,10:00 AM,Tan Unit
11/4/16,2:00 PM,Tan Unit
11/7/16,10:00 AM,Tan Unit
11/7/16,2:00 PM,Tan Unit
11/8/16,10:00 AM,Tan Unit
11/8/16,2:00 PM,Tan Unit
11/9/16,10:00 AM,Tan Unit
11/9/16,2:00 PM,Tan Unit
11/10/16,10:00 AM,Tan Unit
11/10/16,2:00 PM,Tan Unit
11/11/16,10:00 AM,Tan Unit
11/11/16,2:00 PM,Tan Unit
11/14/16,10:00 AM,Tan Unit
11/14/16,2:00 PM,Tan Unit
11/15/16,10:00 AM,Tan Unit
11/15/16,2:00 PM,Tan Unit
11/16/16,10:00 AM,Tan Unit
11/16/16,2:00 PM,Tan Unit
11/17/16,10:00 AM,Tan Unit
11/17/16,2:00 PM,Tan Unit
11/18/16,10:00 AM,Tan Unit
11/18/16,2:00 PM,Tan Unit
